OBJECTID,year,quarter,light_desc,light_code,county_des,county_no,muni_desc,muni_code,junction_d,junction_c,collision_,collisio_2,surf_cond_,surf_con_2,lane_code,rd_cond_de,rd_cond_co,rd_div_des,rd_div_cod,fix_obj_de,fix_obj_co,report_no,report_typ,weather_de,weather_co,acc_date,acc_time,loc_code,signal_fla,signal_f_2,c_m_zone_f,agency_cod,area_code,harm_event,harm_eve_2,harm_eve_3,harm_eve_4,rte_no,route_type,rte_suffix,log_mile,logmile_di,logmile__2,mainroad_n,distance,feet_miles,feet_mil_2,distance_d,reference_,referenc_2,referenc_3,referenc_4,latitude,longitude,crashdate,date,Field1,x,y
1224,2021,Q1,Dark Lights On,3,Wicomico,22,,133,Intersection,2,Single Vehicle,17,Dry,2,2,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE4192001P,Property Damage Crash,,6.01,20210130,6/23/2023 10:28:00 PM,,No,N,N,SALISBURY,UNK,Animal,8,Not Applicable,0,828,MU,,0.55,North,N,EASTERN SHORE DR,0,Feet,F,N,1505,MU,,W LINCOLN AVE,38.35648,-75.59652,20210130,1/30/2021 12:00:00 AM,,-75.5965194662004,38.3564781313607
1225,2020,Q4,Dark Lights On,3,Wicomico,22,,133,Intersection,2,Single Vehicle,17,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Sign Support Pole,9,DE21720074,Property Damage Crash,,6.01,20201101,6/23/2023 9:42:00 PM,,No,N,N,SALISBURY,UNK,Fixed Object,9,Not Applicable,0,2543,MU,,0.21,South,S,SHILOH ST,0,Feet,F,S,1215,MU,,HEMLOCK ST,38.35423,-75.58684,20201101,11/1/2020 12:00:00 AM,,-75.5868407330134,38.3542276822618
1226,2020,Q4,Daylight,1,Wicomico,22,,133,Intersection Related,3,Head On Left Turn,2,Not Applicable,0,0,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,MSP72240018,Injury Crash,,6.01,20201031,6/23/2023 4:25:00 PM,,Yes,Y,N,MSP,UNK,Other Vehicle,1,Other Vehicle,1,350,MD,,0.92,East,E,MT HERMON RD,10,Feet,F,E,277,CO,,BEAGLIN PARK DR,38.36631,-75.5662,20201031,10/31/2020 12:00:00 AM,,-75.5661973332403,38.3663061663965
1227,2021,Q1,Daylight,1,Wicomico,22,,133,Intersection,2,Same Movement Angle,11,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE1137005Q,Property Damage Crash,,6.01,20210321,6/23/2023 4:52:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,BU,6.86,North,N,N SALISBURY BLVD,0,Feet,F,N,1950,MU,,NORTHWOOD DR,38.35565,-75.60063,20210321,3/21/2021 12:00:00 AM,,-75.6006347198164,38.3556465336607
1228,2020,Q4,Dark Lights On,3,Wicomico,22,,133,Non Intersection,1,Other,88,Dry,2,0,No Defects,1,Not Applicable,0,Not Applicable,0,DE1137005D,Property Damage Crash,,6.01,20201211,6/23/2023 10:00:00 PM,,No,N,N,SALISBURY,UNK,Parked Vehicle,2,Not Applicable,0,775,MU,,0,North,N,N DIVISION ST,20,Feet,F,N,1632,MU,,E MAIN ST,38.3661,-75.60033,20201211,12/11/2020 12:00:00 AM,,-75.6003343849239,38.3660950595394
1229,2021,Q1,Dark Lights On,3,Wicomico,22,,133,Non Intersection,1,Single Vehicle,17,Dry,2,2,No Defects,1,"Two-way, Not Divided",1,Curb,4,DE2158006K,Property Damage Crash,,6.01,20210225,6/23/2023 2:30:00 AM,,No,N,N,SALISBURY,UNK,Fixed Object,9,Not Applicable,0,124,MU,,3.41,South,S,BEAGLIN PARK DR,75,Feet,F,S,2525,MU,,S SCHUMAKER DR,38.35084,-75.57423,20210225,2/25/2021 12:00:00 AM,,-75.5742328926339,38.3508392930989
1230,2021,Q1,Daylight,1,Wicomico,22,,133,Not Applicable,0,Same Direction Sideswipe,7,Dry,2,2,No Defects,1,"Two-way, Divided, Unprotected (painted >4 feet) Median",3,Not Applicable,0,DE2176000C,Injury Crash,,6.01,20210309,6/23/2023 3:44:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Other Vehicle,1,13,US,BU,4.73,North,N,S SALISBURY BLVD,50,Feet,F,N,1210,MU,,HAZEL AVE,38.35632,-75.60027,20210309,3/9/2021 12:00:00 AM,,-75.6002739181068,38.3563232375274
1231,2021,Q1,Daylight,1,Wicomico,22,,133,Not Applicable,0,Single Vehicle,17,Snow,3,1,No Defects,1,"Two-way, Not Divided",1,Other Pole,10,DE1122005C,Property Damage Crash,,8.04,20210131,6/23/2023 12:16:00 PM,,No,N,N,SALISBURY,UNK,Fixed Object,9,Not Applicable,0,2105,MU,,0.25,East,E,PARSONS LAKE DR,500,Feet,F,W,3087,MU,,MISTY HOLLOW DR,38.39831,-75.57121,20210131,1/31/2021 12:00:00 AM,,-75.571204395966,38.3983116305773
1232,2021,Q1,Dark Lights On,3,Wicomico,22,,133,,9.04,Same Movement Angle,11,Wet,1,0,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Curb,4,DE4192001R,Property Damage Crash,Raining,3,20210222,6/23/2023 10:22:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Fixed Object,9,13,US,,12.65,North,N,N SALISBURY BLVD,200,Feet,F,N,1897,MU,,E NAYLOR MILL RD,38.41156,-75.56733,20210222,2/22/2021 12:00:00 AM,,-75.5673317938272,38.4115596092886
1233,2021,Q1,Daylight,1,Wicomico,22,,133,Non Intersection,1,Same Direction Sideswipe,7,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE7191004T,Property Damage Crash,,6.01,20210123,6/23/2023 1:27:00 PM,,No,N,N,SALISBURY,UNK,Parked Vehicle,2,Not Applicable,0,2015,MU,,0.07,East,E,ONLEY RD,100,Feet,F,W,2155,MU,,PERRY DR,38.3435,-75.59788,20210123,1/23/2021 12:00:00 AM,,-75.5978786970442,38.3434984545901
1234,2021,Q1,Dark Lights On,3,Wicomico,22,,133,,9.04,Single Vehicle,17,Wet,1,1,Not Applicable,0,One-way Trafficway,2,,88,DE61470004,Property Damage Crash,Raining,3,20210115,6/23/2023 9:39:00 PM,22,No,N,N,SALISBURY,UNK,Off Road,16,Not Applicable,0,1780,MU,,0.48,South,S,MILL ST,50,Feet,F,S,530,MU,,W CHURCH ST,38.36557,-75.60312,20210115,1/15/2021 12:00:00 AM,,-75.6031166966782,38.3655747630649
1235,2021,Q1,Daylight,1,Wicomico,22,,133,Intersection,2,Same Direction Rear End Right Turn,4,Dry,2,2,No Defects,1,,5.01,Not Applicable,0,DE61870008,Property Damage Crash,,7.01,20210205,6/23/2023 3:28:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,BU,6.25,North,N,N SALISBURY BLVD,0,Feet,F,N,1900,MU,,NAYLOR ST,38.37629,-75.59165,20210205,2/5/2021 12:00:00 AM,,-75.591649148989,38.376283958338
1236,2021,Q1,Unknown,99,Wicomico,22,,133,Intersection,2,Single Vehicle,17,Ice,4,0,No Defects,1,"Two-way, Not Divided",1,Other Pole,10,DE4161005S,Property Damage Crash,,8.04,20210203,6/23/2023 10:22:00 AM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,1135,MU,,0.25,West,W,HAMPSHIRE RD,0,Feet,F,W,895,OP,,NORTHGATE DR,38.3728,-75.524,20210203,2/3/2021 12:00:00 AM,,-75.5239999998001,38.37280000002
1237,2021,Q1,,6.02,Wicomico,22,,133,Non Intersection,1,Head On,1,Wet,1,1,Not Applicable,0,"Two-way, Divided, Positive Median Barrier",4,Not Applicable,0,DE5163003V,Property Damage Crash,Raining,3,20210101,6/23/2023 7:51:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,,12.65,North,N,N SALISBURY BLVD,50,Feet,F,N,416,CO,,NAYLOR MILL RD,38.41051,-75.5677,20210101,1/1/2021 12:00:00 AM,,-75.5677007317034,38.4105105249408
1238,2021,Q1,Daylight,1,Wicomico,22,,133,Intersection Related,3,Same Direction Rear End,3,Wet,1,1,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Not Applicable,0,DE4192001W,Property Damage Crash,Raining,3,20210318,6/23/2023 5:12:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,,12.65,North,N,N SALISBURY BLVD,0,Feet,F,N,1897,MU,,E NAYLOR MILL RD,38.40989,-75.56748,20210318,3/18/2021 12:00:00 AM,,-75.5674807449404,38.4098948598599
1239,2021,Q1,Unknown,99,Wicomico,22,,133,Intersection,2,Single Vehicle,17,Unknown,99,1,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Sign Support Pole,9,DE4189000G,Property Damage Crash,Not Applicable,0,20210311,6/23/2023 6:23:00 AM,,Yes,Y,N,SALISBURY,UNK,Fixed Object,9,Not Applicable,0,50,US,BU,4.295,East,E,E SALISBURY PKWY,0,Feet,F,E,2720,MU,,TRUITT ST,38.3688,-75.58313,20210311,3/11/2021 12:00:00 AM,,-75.5831335656615,38.3688009442083
1240,2021,Q1,Daylight,1,Wicomico,22,,133,,88,Single Vehicle,17,Dry,2,0,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Sign Support Pole,9,MSP6728006T,Property Damage Crash,,6.01,20210309,6/23/2023 1:31:00 PM,,No,N,N,MSP,UNK,Fixed Object,9,Not Applicable,0,13,US,BU,4.17,North,N,S SALISBURY BLVD,500,Feet,F,S,631,MU,,W COLLEGE AVE,38.3472,-75.60312,20210309,3/9/2021 12:00:00 AM,,-75.6031199162511,38.3472041164769
1241,2022,Q1,Daylight,1,Wicomico,22,,133,Intersection,2,Angle Meets Right Turn,12,Dry,2,2,No Defects,1,One-way Trafficway,2,Not Applicable,0,DE7191006V,Injury Crash,,6.01,20220315,6/23/2023 11:48:00 AM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,2422,MU,,0,South,S,RIVERSIDE DR #2,0,Feet,F,S,410,MU,,W CARROLL ST,38.36395,-75.60397,20220315,3/15/2022 12:00:00 AM,,-75.6039734448186,38.3639473462931
1242,2022,Q1,Daylight,1,Wicomico,22,,133,Non Intersection,1,Head On,1,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Tree Shrubbery,11,DE413900BY,Property Damage Crash,,6.01,20220201,6/23/2023 4:17:00 PM,,No,N,N,SALISBURY,UNK,Fixed Object,9,Parked Vehicle,2,2831,MU,,0.12,West,W,W VINE ST,50,Feet,F,E,0,UU,,EXIT FR HOSPITAL AMBULANCES ONLY,38.36054,-75.59999,20220201,2/1/2022 12:00:00 AM,,-75.5999880721918,38.3605402386411
