OBJECTID,year,quarter,light_desc,light_code,county_des,county_no,muni_desc,muni_code,junction_d,junction_c,collision_,collisio_2,surf_cond_,surf_con_2,lane_code,rd_cond_de,rd_cond_co,rd_div_des,rd_div_cod,fix_obj_de,fix_obj_co,report_no,report_typ,weather_de,weather_co,acc_date,acc_time,loc_code,signal_fla,signal_f_2,c_m_zone_f,agency_cod,area_code,harm_event,harm_eve_2,harm_eve_3,harm_eve_4,rte_no,route_type,rte_suffix,log_mile,logmile_di,logmile__2,mainroad_n,distance,feet_miles,feet_mil_2,distance_d,reference_,referenc_2,referenc_3,referenc_4,latitude,longitude,crashdate,date,Field1,x,y
1,2021,Q2,Dark No Lights,4,Wicomico,22,,133,Intersection,2,Head On Left Turn,2,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,ZV1288001C,Property Damage Crash,,6.01,20210527,6/23/2023 8:50:00 PM,,Yes,Y,N,WICOMICO,UNK,Other Vehicle,1,Not Applicable,0,2041,MU,,0.1,West,W,S PARK DR,0,Feet,F,W,270,CO,,CHURCHILL AVE,38.35982,-75.58147,20210527,5/27/2021 12:00:00 AM,,-75.5814732004278,38.3598227001576
2,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Opposite Direction Sideswipe,6,Wet,1,0,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE2183006H,Injury Crash,Raining,3,20210611,6/23/2023 5:24:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,1897,MU,,1.21,South,S,E NAYLOR MILL RD,0,Feet,F,S,406,CO,,ZION RD,38.39518,-75.56274,20210611,6/11/2021 12:00:00 AM,,-75.5627439006105,38.3951797856187
3,2021,Q2,Daylight,1,Wicomico,22,,133,Non Intersection,1,Head On Left Turn,2,Dry,2,2,No Defects,1,"Two-way, Divided, Unprotected (painted >4 feet) Median",3,Curb,4,DE6147000L,Injury Crash,,6.01,20210424,6/23/2023 4:28:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,BU,4.33,North,N,S SALISBURY BLVD,70,Feet,F,N,2180,MU,,PINEHURST AVE,38.35111,-75.60147,20210424,4/24/2021 12:00:00 AM,,-75.6014680010474,38.3511089413246
4,2021,Q2,Dark Lights On,3,Wicomico,22,,133,Not Applicable,0,Head On,1,Dry,2,1,No Defects,1,One-way Trafficway,2,Not Applicable,0,DE21830068,Injury Crash,,6.01,20210505,6/23/2023 10:01:00 PM,,No,N,N,SALISBURY,UNK,Parked Vehicle,2,Not Applicable,0,3013,MU,,0.2,East,E,E WILLIAMS ST #2,75,Feet,F,W,860,MU,,ELLEN ST,38.36921,-75.59559,20210505,5/5/2021 12:00:00 AM,,-75.5955863521284,38.3692042892466
5,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Same Direction Sideswipe,7,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE31770065,Property Damage Crash,,6.01,20210428,6/23/2023 12:45:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,2095,MU,,0.15,South,S,PARSONS RD,0,Feet,F,S,2125,MU,,PEMBERTON DR,38.36758,-75.61776,20210428,4/28/2021 12:00:00 AM,,-75.6177590157659,38.3675808240958
6,2021,Q2,Daylight,1,Wicomico,22,,133,,88,Single Vehicle,17,Dry,2,0,Other,88,Other,88,Not Applicable,0,DE2149001H,Injury Crash,,6.01,20210625,6/23/2023 1:08:00 PM,,No,N,Y,SALISBURY,UNK,Pedestrian,3,Not Applicable,0,960,MU,,0.09,East,E,FITZWATER ST,10,Feet,F,W,760,MU,,DELAWARE AVE,38.36383,-75.61238,20210625,6/25/2021 12:00:00 AM,,-75.6123827678504,38.3638269216751
7,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Same Direction Rear End,3,Dry,2,1,No Defects,1,"Two-way, Divided, Unprotected (painted >4 feet) Median",3,Not Applicable,0,MSP6883001T,Injury Crash,,6.01,20210508,6/23/2023 1:18:00 PM,,Yes,Y,N,MSP,UNK,Other Vehicle,1,Other Vehicle,1,13,US,,12.55,North,N,N SALISBURY BLVD,0,Feet,F,N,3070,MU,,N ZION RD,38.39148,-75.57578,20210508,5/8/2021 12:00:00 AM,,-75.5757849830904,38.3914744169109
8,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Same Direction Rear End,3,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE5150006H,Injury Crash,,6.01,20210518,6/23/2023 6:16:00 PM,22,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,1900,MU,,0.46,East,E,NAYLOR ST,0,Feet,F,E,520,MU,,E CHURCH ST,38.37116,-75.58781,20210518,5/18/2021 12:00:00 AM,,-75.5878035247129,38.3711616924582
9,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Head On Left Turn,2,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,ZV1290000N,Property Damage Crash,,6.01,20210428,6/23/2023 5:49:00 PM,,Yes,Y,N,WICOMICO,UNK,Other Vehicle,1,Not Applicable,0,2950,MU,,1.53,East,E,WEST RD,0,Feet,F,E,542,CO,,MANOA BLVD,38.38407,-75.61099,20210428,4/28/2021 12:00:00 AM,,-75.6109929996272,38.3840700502926
10,2021,Q2,Dark Lights On,3,Wicomico,22,,133,Intersection Related,3,Same Direction Rear End,3,Not Applicable,0,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE41920028,Injury Crash,,6.01,20210614,6/23/2023 9:12:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,BU,5.64,North,N,N SALISBURY BLVD,0,Feet,F,N,520,MU,,E CHURCH ST,38.36802,-75.59538,20210614,6/14/2021 12:00:00 AM,,-75.5953774890798,38.3680160941674
11,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection Related,3,Same Direction Right Turn,8,Dry,2,0,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE61470010,Property Damage Crash,,6.01,20210623,6/23/2023 7:45:00 AM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,349,MD,,22.29,East,E,NANTICOKE RD,10,Feet,F,E,1640,MU,,W MAIN ST,38.36949,-75.61465,20210623,6/23/2021 12:00:00 AM,,-75.6146453290187,38.3694926892363
12,2021,Q2,,6.02,Wicomico,22,,133,Intersection,2,Same Movement Angle,11,Dry,2,1,No Defects,1,"Two-way, Divided, Unprotected (painted >4 feet) Median",3,Not Applicable,0,MSP7218002Q,Property Damage Crash,,6.01,20210613,6/23/2023 7:05:00 PM,,Yes,Y,N,MSP,UNK,Not Applicable,0,Other Vehicle,1,124,MU,,2.3,South,S,BEAGLIN PARK DR,0,Feet,F,S,350,MD,,MT HERMON RD,38.36633,-75.56635,20210613,6/13/2021 12:00:00 AM,,-75.566352116457,38.3663239666778
13,2021,Q2,Dark Lights On,3,Wicomico,22,,133,Intersection,2,Same Movement Angle,11,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE6197001S,Property Damage Crash,,6.01,20210411,6/23/2023 10:17:00 PM,22,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,BU,5.77,North,N,N SALISBURY BLVD,0,Feet,F,N,1331,MU,,E ISABELLA ST,38.3607,-75.59071,20210411,4/11/2021 12:00:00 AM,,-75.5907138027997,38.3607014699969
14,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Same Direction Left Turn,9,Dry,2,0,No Defects,1,"Two-way, Divided, Unprotected (painted >4 feet) Median",3,Not Applicable,0,DE1170009D,Injury Crash,,7.01,20210505,6/23/2023 4:15:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,124,MU,,2.21,South,S,BEAGLIN PARK DR,0,Feet,F,S,50,US,BU,E SALISBURY PKWY,38.36811,-75.56593,20210505,5/5/2021 12:00:00 AM,,-75.5659246399102,38.368114984519
15,2021,Q2,Daylight,1,Wicomico,22,,133,Not Applicable,0,Same Direction Rear End,3,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,ZV1290000R,Property Damage Crash,,6.01,20210618,6/23/2023 5:31:00 PM,,No,N,N,WICOMICO,UNK,Other Vehicle,1,Not Applicable,0,1895,MU,,1.92,West,W,NAYLOR MILL RD,0.19,Miles,M,E,3083,MU,,JERSEY RD,38.40981,-75.5984,20210618,6/18/2021 12:00:00 AM,,-75.5984004000584,38.4098037000808
16,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Same Movement Angle,11,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE6147000Y,Property Damage Crash,,6.01,20210618,6/23/2023 4:41:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,1780,MU,,0.49,South,S,MILL ST,0,Feet,F,S,1640,MU,,W MAIN ST,38.36526,-75.60355,20210618,6/18/2021 12:00:00 AM,,-75.603547200343,38.3652555990667
17,2021,Q2,Dark Lights On,3,Wicomico,22,,133,Intersection,2,Single Vehicle,17,Dry,2,0,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Other Pole,10,DE2146000R,Property Damage Crash,,6.01,20210416,6/23/2023 2:55:00 AM,,No,N,N,SALISBURY,UNK,Fixed Object,9,Not Applicable,0,50,US,BU,4.295,East,E,E SALISBURY PKWY,0,Feet,F,E,2720,MU,,TRUITT ST,38.36874,-75.58314,20210416,4/16/2021 12:00:00 AM,,-75.5831352833666,38.3687419441854
18,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Same Direction Rear End,3,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,MSP6841006L,Property Damage Crash,Not Applicable,0,20210527,6/23/2023 10:15:00 AM,,Yes,Y,N,MSP,UNK,Other Vehicle,1,Not Applicable,0,110,MU,,0.16,North,N,BAPTIST ST,0,Feet,F,N,50,US,BU,E SALISBURY PKWY,38.36673,-75.59863,20210527,5/27/2021 12:00:00 AM,,-75.5986221746736,38.3667344946013
19,2021,Q2,Dark Lights On,3,Wicomico,22,,133,Intersection,2,Same Movement Angle,11,Wet,1,2,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE41610060,Property Damage Crash,Raining,3,20210504,6/23/2023 7:36:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Fixed Object,9,2710,MU,,0.34,South,S,S TOWER DR,0,Feet,F,S,631,MU,,W COLLEGE AVE,38.3728,-75.524,20210504,5/4/2021 12:00:00 AM,,-75.5239999998001,38.37280000002
20,2021,Q2,Daylight,1,Wicomico,22,,133,Not Applicable,0,Same Direction Rear End,3,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,ZV1275002C,Property Damage Crash,,6.01,20210607,6/23/2023 7:25:00 PM,,No,N,N,WICOMICO,UNK,Other Vehicle,1,Not Applicable,0,1895,MU,,0.18,West,W,NAYLOR MILL RD,10,Feet,F,W,1945,MU,,NORTHGATE DR,38.4095,-75.57093,20210607,6/7/2021 12:00:00 AM,,-75.5709330003576,38.409498999879
21,2021,Q2,Dark Lights On,3,Wicomico,22,,133,Intersection,2,Same Movement Angle,11,Dry,2,2,No Defects,1,"Two-way, Divided, Unprotected (painted >4 feet) Median",3,Not Applicable,0,MSP72180029,Property Damage Crash,,6.01,20210502,6/23/2023 11:50:00 PM,,Yes,Y,N,MSP,UNK,Other Vehicle,1,Not Applicable,0,124,MU,,2.21,South,S,BEAGLIN PARK DR,0,Feet,F,S,50,US,BU,E SALISBURY PKWY,38.41236,-75.65525,20210502,5/2/2021 12:00:00 AM,,-75.6552490170285,38.4123612163971
22,2021,Q2,Dark Lights On,3,Wicomico,22,,133,Non Intersection,1,Other,88,Wet,1,2,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,,15.05,DE41610061,Property Damage Crash,Raining,3,20210504,6/23/2023 9:51:00 PM,,No,N,N,SALISBURY,UNK,Jackknife,13,Not Applicable,0,50,US,BU,3.166,East,E,W SALISBURY PKWY,50,Feet,F,W,1780,MU,,MILL ST,38.3728,-75.524,20210504,5/4/2021 12:00:00 AM,,-75.5239999998001,38.37280000002
23,2021,Q2,Dark Lights On,3,Wicomico,22,,133,Intersection,2,Same Movement Angle,11,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE6147000H,Injury Crash,,6.01,20210409,6/23/2023 8:35:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,1430,MU,,0.56,North,N,LAKE ST,0,Feet,F,N,2520,MU,,MACK AVE,38.37326,-75.60368,20210409,4/9/2021 12:00:00 AM,,-75.6036741180661,38.3732559392103
24,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection Related,3,Same Direction Left Turn,9,Dry,2,2,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Not Applicable,0,DE11700097,Property Damage Crash,Not Applicable,0,20210407,6/23/2023 7:00:00 AM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,50,US,BU,4.295,East,E,E SALISBURY PKWY,40,Feet,F,W,2720,MU,,TRUITT ST,38.36906,-75.58216,20210407,4/7/2021 12:00:00 AM,,-75.5821600513452,38.3690602565256
25,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Same Movement Angle,11,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE6187001K,Injury Crash,,6.01,20210625,6/23/2023 1:01:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,350,MD,,0.53,East,E,MT HERMON RD,0,Feet,F,E,545,MU,,CIVIC AVE,38.36809,-75.57323,20210625,6/25/2021 12:00:00 AM,,-75.5732317943118,38.3680895355037
26,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Same Movement Angle,11,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE4102005P,Property Damage Crash,,6.01,20210605,6/23/2023 12:22:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,2600,MU,,0.38,East,E,SOUTH BLVD,0,Feet,F,E,370,MU,,CAMDEN AVE,38.35443,-75.60622,20210605,6/5/2021 12:00:00 AM,,-75.6062217265514,38.3544295485848
27,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Same Direction Rear End,3,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE2131001J,Injury Crash,,6.01,20210609,6/23/2023 2:34:00 PM,DE 8270,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,2830,MU,,0.52,West,W,E VINE ST,0,Feet,F,W,13,US,BU,S SALISBURY BLVD,38.36072,-75.597,20210609,6/9/2021 12:00:00 AM,,-75.5970018202777,38.3607200904598
28,2022,Q1,Dark Lights On,3,Wicomico,22,,133,,9.04,Same Movement Angle,11,Dry,2,0,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE1141003H,Property Damage Crash,,7.01,20220224,6/23/2023 6:45:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,12,MD,,5.88,North,N,SNOW HILL RD,200,Feet,F,N,277,CO,,BEAGLIN PARK DR,38.34756,-75.58193,20220224,2/24/2022 12:00:00 AM,,-75.5819348638029,38.3475555931162
29,2021,Q2,Daylight,1,Wicomico,22,,133,Non Intersection,1,Same Direction Sideswipe,7,Wet,1,1,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Embankment,6,MSP6929003J,Injury Crash,Raining,3,20210611,6/23/2023 3:08:00 PM,,No,N,N,MSP,UNK,Other Vehicle,1,Off Road,16,13,US,,8.74,North,N,SALISBURY BYPASS,0,Miles,M,S,50,US,,OCEAN GATEWAY,38.41662,-75.68191,20210611,6/11/2021 12:00:00 AM,,-75.6819067876681,38.4166220342795
30,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection Related,3,Same Direction Rear End,3,Dry,2,0,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,,23.03,DE1170009L,Injury Crash,,7.01,20210603,6/23/2023 12:43:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,50,US,BU,6.216,East,E,E SALISBURY PKWY,25,Feet,F,E,0,UU,,SPUR FR TILGHMAN RD,38.36619,-75.54729,20210603,6/3/2021 12:00:00 AM,,-75.5472898543433,38.3661880548349
31,2021,Q2,Daylight,1,Wicomico,22,,133,,88,Same Direction Rear End,3,Dry,2,1,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Not Applicable,0,DE2131001B,Injury Crash,,6.01,20210512,6/23/2023 7:11:00 AM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,2422,MU,,0,South,S,RIVERSIDE DR #2,1,Feet,F,N,410,MU,,W CARROLL ST,38.35836,-75.60278,20210512,5/12/2021 12:00:00 AM,,-75.6027837523682,38.3583581146353
32,2021,Q2,Daylight,1,Wicomico,22,,133,Not Applicable,0,Other,88,Dry,2,0,View Obstructed,8,Other,88,Not Applicable,0,DE21760015,Injury Crash,,6.01,20210628,6/23/2023 4:03:00 PM,,No,N,N,SALISBURY,UNK,Pedestrian,3,Not Applicable,0,416,CO,,0,West,W,NAYLOR MILL RD,500,Feet,F,W,13,US,,N SALISBURY BLVD,38.41694,-75.56853,20210628,6/28/2021 12:00:00 AM,,-75.5685339976458,38.4169380542479
33,2021,Q2,Unknown,99,Wicomico,22,,133,Intersection,2,Single Vehicle,17,Unknown,99,0,No Defects,1,"Two-way, Not Divided",1,Sign Support Pole,9,MSP4925008R,Property Damage Crash,Not Applicable,0,20210419,6/23/2023 11:36:00 AM,,Yes,Y,N,MSP,UNK,Fixed Object,9,Not Applicable,0,13,US,BU,6.73,North,N,N SALISBURY BLVD,0,Feet,F,N,1483,MU,,LIBERTY ST #3,38.38164,-75.58649,20210419,4/19/2021 12:00:00 AM,,-75.586494967069,38.3816417027025
34,2021,Q2,Dark Lights On,3,Wicomico,22,,133,Intersection Related,3,Single Vehicle,17,Dry,2,1,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Curb,4,DE2186006T,Property Damage Crash,,6.01,20210627,6/23/2023 12:38:00 AM,,Yes,Y,N,SALISBURY,UNK,Fixed Object,9,Fixed Object,9,50,US,BU,4.129,East,E,E SALISBURY PKWY,30,Feet,F,E,1900,MU,,NAYLOR ST,38.36831,-75.58614,20210627,6/27/2021 12:00:00 AM,,-75.5861326580957,38.3683073674911
35,2021,Q2,Dark Lights On,3,Wicomico,22,,133,Intersection,2,Same Movement Angle,11,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,MSP6758005J,Injury Crash,Not Applicable,0,20210408,6/23/2023 11:24:00 PM,,Yes,Y,N,MSP,UNK,Other Vehicle,1,Not Applicable,0,760,MU,,0.31,South,S,DELAWARE AVE,0,Feet,F,S,220,MU,,BOOTH ST,38.37746,-75.60547,20210408,4/8/2021 12:00:00 AM,,-75.6054682988229,38.3774596780218
36,2021,Q2,Daylight,1,Wicomico,22,,133,Non Intersection,1,Other,88,Not Applicable,0,1,No Defects,1,"Two-way, Divided, Unprotected (painted >4 feet) Median",3,Construction Barrier,12,ZV12870013,Property Damage Crash,,6.01,20210508,6/23/2023 6:08:00 PM,,No,N,N,WICOMICO,UNK,Fixed Object,9,Parked Vehicle,2,1895,MU,,1.92,West,W,NAYLOR MILL RD,20,Feet,F,W,3083,MU,,JERSEY RD,38.2461,-75.3606,20210508,5/8/2021 12:00:00 AM,,-75.36059999999,38.246100000115
37,2021,Q2,Daylight,1,Wicomico,22,,133,,9.04,Same Movement Angle,11,Wet,1,0,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE1141001J,Property Damage Crash,Raining,3,20210511,6/23/2023 5:17:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,12,MD,,5.88,North,N,SNOW HILL RD,100,Feet,F,S,277,CO,,BEAGLIN PARK DR,38.34785,-75.58207,20210511,5/11/2021 12:00:00 AM,,-75.5820672404108,38.3478465543751
38,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Same Movement Angle,11,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE11940035,Injury Crash,,6.01,20210623,6/23/2023 12:05:00 PM,22,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,520,MU,,0.47,West,W,E CHURCH ST,0,Feet,F,W,2720,MU,,TRUITT ST,38.36987,-75.59416,20210623,6/23/2021 12:00:00 AM,,-75.5941606541908,38.3698729207987
39,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Single Vehicle,17,Wet,1,1,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Sign Support Pole,9,DE4115006Q,Property Damage Crash,Raining,3,20210503,6/23/2023 4:02:00 PM,DE 8270,Yes,Y,N,SALISBURY,UNK,Fixed Object,9,Not Applicable,0,50,US,BU,4.295,East,E,E SALISBURY PKWY,0,Feet,F,E,2720,MU,,TRUITT ST,38.36885,-75.5832,20210503,5/3/2021 12:00:00 AM,,-75.5831974130301,38.368852513133
40,2021,Q2,Daylight,1,Wicomico,22,,133,Non Intersection,1,Same Direction Rear End,3,Dry,2,3,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Not Applicable,0,DE21490018,Property Damage Crash,,6.01,20210430,6/23/2023 7:38:00 AM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,,12.65,North,N,N SALISBURY BLVD,100,Feet,F,S,416,CO,,NAYLOR MILL RD,38.40914,-75.56776,20210430,4/30/2021 12:00:00 AM,,-75.567752998502,38.4091399050826
41,2021,Q2,Dark Lights On,3,Wicomico,22,,133,Intersection,2,Same Movement Angle,11,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE21530025,Injury Crash,,6.01,20210418,6/23/2023 3:04:00 AM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Other Vehicle,1,13,US,BU,4.67,North,N,S SALISBURY BLVD,0,Feet,F,N,1940,MU,,NORTH BLVD,38.35561,-75.60046,20210418,4/18/2021 12:00:00 AM,,-75.6004568132313,38.3556062647174
42,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Same Movement Angle,11,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE31770067,Property Damage Crash,,6.01,20210523,6/23/2023 5:37:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,50,US,BU,3.429,East,E,E SALISBURY PKWY,0,Feet,F,E,110,MU,,BAPTIST ST,38.36712,-75.5988,20210523,5/23/2021 12:00:00 AM,,-75.598802631736,38.3671170940787
43,2021,Q2,Dark Lights On,3,Wicomico,22,,133,Intersection,2,Same Movement Angle,11,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE31110098,Injury Crash,,6.01,20210416,6/23/2023 12:48:00 AM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,1950,MU,,1.19,North,N,NORTHWOOD DR,0,Feet,F,N,1705,MU,,MARVEL RD,38.38312,-75.584,20210416,4/16/2021 12:00:00 AM,,-75.5840018530031,38.3831189902493
44,2021,Q2,Dark Lights On,3,Wicomico,22,,133,,9.04,Same Movement Angle,11,Wet,1,2,No Defects,1,"Two-way, Divided, Unprotected (painted >4 feet) Median",3,Not Applicable,0,DE2183006C,Injury Crash,Raining,3,20210603,6/23/2023 9:31:00 PM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,BU,7.22,North,N,N SALISBURY BLVD,100,Feet,F,N,45,MU,,ARLINGTON RD,38.3866,-75.58064,20210603,6/3/2021 12:00:00 AM,,-75.5806392824769,38.3866018397032
45,2021,Q2,Daylight,1,Wicomico,22,,133,Non Intersection,1,Single Vehicle,17,Dry,2,2,No Defects,1,"Two-way, Not Divided",1,Tree Shrubbery,11,ZVW2900076,Injury Crash,,6.01,20210503,6/23/2023 12:30:00 PM,,No,N,N,WICOMICO,UNK,Fixed Object,9,Fixed Object,9,286,CO,,0.3,North,N,CIVIC AVE,30,Feet,F,S,281,CO,,WYMAN DR,38.36078,-75.59864,20210503,5/3/2021 12:00:00 AM,,-75.5986390495524,38.3607792163878
46,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection Related,3,Same Direction Right Turn,8,Dry,2,3,No Defects,1,"Two-way, Divided, Positive Median Barrier",4,Not Applicable,0,DE31600089,Property Damage Crash,,6.01,20210417,6/23/2023 2:20:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,50,US,BU,3.429,East,E,E SALISBURY PKWY,0,Feet,F,W,110,MU,,BAPTIST ST,38.36708,-75.5988,20210417,4/17/2021 12:00:00 AM,,-75.5988029608879,38.3670843200854
47,2021,Q2,Daylight,1,Wicomico,22,,133,Not Applicable,0,Other,88,Dry,2,2,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE2180005R,Injury Crash,,6.01,20210625,6/23/2023 6:10:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,12,MD,,5.88,North,N,SNOW HILL RD,0,Feet,F,N,277,CO,,BEAGLIN PARK DR,38.34762,-75.58194,20210625,6/25/2021 12:00:00 AM,,-75.5819414081694,38.3476200052591
48,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Same Movement Angle,11,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE2180005Q,Property Damage Crash,,6.01,20210617,6/23/2023 12:55:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,415,MU,,0.25,East,E,E CARROLL ST,0,Feet,F,E,828,MU,,EASTERN SHORE DR,38.36303,-75.5948,20210617,6/17/2021 12:00:00 AM,,-75.5948052828375,38.3630247803694
49,2021,Q2,Daylight,1,Wicomico,22,,133,Non Intersection,1,Same Movement Angle,11,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE2145000F,Property Damage Crash,,6.01,20210628,6/23/2023 1:00:00 PM,,Yes,Y,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,110,MU,,0,North,N,BAPTIST ST,0,Feet,F,N,1681,MU,,E MARKET ST,38.36483,-75.5983,20210628,6/28/2021 12:00:00 AM,,-75.5983015807533,38.3648352379559
50,2021,Q2,Daylight,1,Wicomico,22,,133,,9.04,Same Movement Angle,11,Dry,2,2,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE41920026,Injury Crash,,6.01,20210601,6/23/2023 9:04:00 AM,,No,N,N,SALISBURY,UNK,Other Vehicle,1,Not Applicable,0,13,US,BU,6.86,North,N,N SALISBURY BLVD,30,Feet,F,S,1270,MU,,HOMER ST,38.38268,-75.58504,20210601,6/1/2021 12:00:00 AM,,-75.585046383184,38.3826840421349
51,2021,Q2,Daylight,1,Wicomico,22,,133,Intersection,2,Head On,1,Dry,2,1,No Defects,1,"Two-way, Not Divided",1,Not Applicable,0,DE2183006J,Property Damage Crash,,6.01,20210613,6/23/2023 11:56:00 AM,,Yes,Y,N,SALISBURY,UNK,Pedestrian,3,Not Applicable,0,2160,MU,,0,West,W,PHILADELPHIA AVE,0,Feet,F,W,13,US,BU,N SALISBURY BLVD,38.3727,-75.59348,20210613,6/13/2021 12:00:00 AM,,-75.5934752439873,38.3727022041435
